lvdb_key,ref_vlos,ref_url,n_final,sigma_lvdb,sigma_lvdb_em,sigma_lvdb_ep,lvdb_unresolved_or_UL,sigma_jeff_q16,sigma_jeff_q50,sigma_jeff_q84,sigma_loguni_q16,sigma_loguni_q50,sigma_loguni_q84,dsigma_jeff_minus_lvdb,dsigma_jeff_minus_loguni,tension_jeff_sigma,tension_loguni_sigma
antlia_2,Ji2021ApJ...921...32J,https://arxiv.org/abs/2106.12656,290,5.98,0.36,0.37,False,6.93791,7.28491,7.65429,6.94831,7.29634,7.66584,1.3049099999999996,-0.01142999999999983,2.5516663753200417,2.571990643311753
tucana_2,Chiti2023AJ....165...55C,https://arxiv.org/abs/2205.01740,15,3.8,0.7,1.1,False,2.60319,3.25074,4.13101,2.69589,3.38672,4.33439,-0.5492599999999999,-0.13598,-0.46528105770707456,-0.33957980357816886
grus_1,Chiti2022ApJ...939...41C,https://arxiv.org/abs/2206.04580,7,2.5,0.8,1.3,False,1.33805,1.91053,2.76506,1.36282,1.99131,2.9621,-0.5894699999999999,-0.08077999999999985,-0.4643383013235701,-0.3854238476599111
horologium_1,Koposov2015ApJ...811...62K,https://arxiv.org/abs/1504.07916,4,4.9,0.9,2.8,False,4.03273,5.66122,8.55774,4.48783,6.56756,10.5842,0.7612199999999998,-0.9063400000000001,0.26046233272934316,0.46767217383748216
tucana_4,Simon2020ApJ...892..137S,https://arxiv.org/abs/1911.08493,8,4.3,1.0,1.7,False,3.68942,4.80241,6.47837,3.87895,5.12294,7.05139,0.5024100000000002,-0.32052999999999976,0.25885524904254176,0.39508784817837594
hydrus_1,Koposov2018MNRAS.479.5343K,https://arxiv.org/abs/1804.06430,33,2.7,0.43,0.51,False,2.45423,2.83591,3.30061,2.47753,2.86694,3.34304,0.13590999999999998,-0.03102999999999989,0.2148953247496797,0.2612980706129386
carina_3,Li2018ApJ...857..145L,https://arxiv.org/abs/1802.06810,4,5.6,2.1,4.3,False,3.15305,4.77028,7.64306,3.48949,5.4898,9.28107,-0.82972,-0.7195200000000002,-0.21226051188543818,-0.02553444729502752
tucana_5,Hansen2024ApJ...968...21H,https://arxiv.org/abs/2403.13060,1,1.2,0.6,0.9,False,0.350515,0.912056,2.7717,0.0330003,0.41718,5.33344,-0.287944,0.494876,-0.20219499261780832,-0.28421746614258897
leo_6,Tan2025ApJ...979..176T,https://arxiv.org/abs/2408.00865,9,2.85,1.31,1.57,False,2.06307,3.19176,4.81331,1.83444,3.13894,4.89605,0.34175999999999984,0.05282000000000009,0.17164217400829554,0.13748196829830117
aquarius_2,Bruce2023ApJ...950..167B,https://arxiv.org/abs/2302.03708,8,4.7,1.2,1.8,False,3.27584,4.35733,5.96636,3.44364,4.6494,6.50185,-0.34267000000000003,-0.29206999999999983,-0.17007003653581063,-0.023622787334878183
pisces_2,Kirby2015ApJ...810...56K,https://arxiv.org/abs/1506.01021,5,5.4,2.4,3.6,False,2.62337,4.74545,8.14147,1.07221,4.30156,8.2882,-0.6545500000000004,0.4438899999999997,-0.16059321801079363,-0.23409442733852937
crater_2,Ji2021ApJ...921...32J,https://arxiv.org/abs/2106.12656,141,2.34,0.3,0.42,False,2.00128,2.26803,2.55828,1.99415,2.26212,2.55323,-0.07196999999999987,0.005910000000000082,-0.15812341784009237,-0.1708689494829817
carina_2,Li2018ApJ...857..145L,https://arxiv.org/abs/1802.06810,14,3.4,0.8,1.2,False,2.36841,3.18161,4.30053,2.42185,3.28589,4.4867,-0.21838999999999986,-0.10428000000000015,-0.15706748015553776,-0.07939056860558658
eridanus_2,Li2017ApJ...838....8L,https://arxiv.org/abs/1611.05052,26,6.9,0.9,1.2,False,5.84319,6.73916,7.86179,5.93884,6.86773,8.03632,-0.16084000000000032,-0.12856999999999985,-0.11043446669207133,-0.021744791366875058
centaurus_1,Heiger2024ApJ...961..234H,https://arxiv.org/abs/2308.08602,31,4.2,0.5,0.6,False,3.59796,4.11696,4.75271,3.64548,4.18038,4.83744,-0.08304000000000045,-0.0634200000000007,-0.10413721094394414,-0.02419288552500942
carina_1,Walker2009AJ....137.3100W,https://arxiv.org/abs/0811.0118,725,6.6,1.2,1.2,False,6.27247,6.49265,6.72129,6.27508,6.49605,6.72659,-0.10734999999999939,-0.0034000000000000696,-0.08793392890028094,-0.08513158568209739
reticulum_2,Walker2015ApJ...808..108W,https://arxiv.org/abs/1504.03060,18,3.6,0.7,1.0,False,2.94497,3.56006,4.36177,2.99836,3.63846,4.48053,-0.03994000000000009,-0.0783999999999998,-0.03609596988215319,0.03410481930442299
